时间,温度(℃),湿度(%)
2026-06-20 08:30:00,-20.0,89
2026-06-20 08:32:00,-19.8,92
2026-06-20 08:34:00,-20.0,91
2026-06-20 08:36:00,-19.6,88
2026-06-20 08:38:00,-19.7,92
2026-06-20 08:40:00,-19.9,87
2026-06-20 08:42:00,-19.4,87
2026-06-20 08:44:00,-19.4,93
2026-06-20 08:46:00,-19.7,90
2026-06-20 08:48:00,-19.6,86
2026-06-20 08:50:00,-19.5,90
2026-06-20 08:52:00,-19.4,88
2026-06-20 08:54:00,-19.1,86
2026-06-20 08:56:00,-19.4,85
2026-06-20 08:58:00,-19.2,88
2026-06-20 09:00:00,-19.4,85
2026-06-20 09:02:00,-19.1,92
2026-06-20 09:04:00,-19.3,92
2026-06-20 09:06:00,-19.3,90
2026-06-20 09:08:00,-19.5,90
2026-06-20 09:10:00,-19.0,91
2026-06-20 09:12:00,-19.1,91
2026-06-20 09:14:00,-14.9,92
2026-06-20 09:16:00,-13.9,93
2026-06-20 09:18:00,-12.7,88
2026-06-20 09:20:00,-12.0,89
2026-06-20 09:22:00,-19.1,88
2026-06-20 09:24:00,-19.0,90
2026-06-20 09:26:00,-19.0,87
2026-06-20 09:28:00,-19.1,86
2026-06-20 09:30:00,-19.2,86
2026-06-20 09:32:00,-19.2,89
2026-06-20 09:34:00,-19.3,87
2026-06-20 09:36:00,-19.3,89
2026-06-20 09:38:00,-19.6,90
2026-06-20 09:40:00,-19.6,86
2026-06-20 09:42:00,-19.3,88
2026-06-20 09:44:00,-19.4,91
2026-06-20 09:46:00,-19.6,92
2026-06-20 09:48:00,-19.8,86
2026-06-20 09:50:00,-19.4,87
2026-06-20 09:52:00,-19.5,90
2026-06-20 09:54:00,-19.9,86
2026-06-20 09:56:00,-19.9,91
2026-06-20 09:58:00,-19.6,93
2026-06-20 10:00:00,-19.8,87
2026-06-20 10:02:00,-19.8,90
2026-06-20 10:04:00,-19.8,87
2026-06-20 10:06:00,-19.8,85
2026-06-20 10:08:00,-15.4,88
2026-06-20 10:10:00,-14.0,89
2026-06-20 10:12:00,-12.6,90
2026-06-20 10:14:00,-11.3,91
2026-06-20 10:16:00,-20.3,86
2026-06-20 10:18:00,-20.1,85
2026-06-20 10:20:00,-20.4,89
2026-06-20 10:22:00,-20.5,90
2026-06-20 10:24:00,-20.7,91
2026-06-20 10:26:00,-20.2,92
2026-06-20 10:28:00,-20.7,87
2026-06-20 10:30:00,-20.9,90
2026-06-20 10:32:00,-20.5,85
2026-06-20 10:34:00,-20.7,91
2026-06-20 10:36:00,-20.9,90
2026-06-20 10:38:00,-20.8,89
2026-06-20 10:40:00,-20.8,86
2026-06-20 10:42:00,-20.5,90
2026-06-20 10:44:00,-20.7,89
2026-06-20 10:46:00,-21.0,89
2026-06-20 10:48:00,-20.6,89
2026-06-20 10:50:00,-20.5,90
2026-06-20 10:52:00,-21.1,89
2026-06-20 10:54:00,-21.1,93
2026-06-20 10:56:00,-20.5,89
2026-06-20 10:58:00,-20.5,86
2026-06-20 11:00:00,-21.0,85
2026-06-20 11:02:00,-20.8,86
2026-06-20 11:04:00,-20.9,90
2026-06-20 11:06:00,-20.7,90
2026-06-20 11:08:00,-20.4,91
2026-06-20 11:10:00,-20.9,88
2026-06-20 11:12:00,-20.7,87
2026-06-20 11:14:00,-20.3,86
2026-06-20 11:16:00,-20.6,93
2026-06-20 11:18:00,-20.4,86
2026-06-20 11:20:00,-20.6,88
2026-06-20 11:22:00,-20.7,86
2026-06-20 11:24:00,-20.3,87
2026-06-20 11:26:00,-20.3,87
2026-06-20 11:28:00,-20.4,86
2026-06-20 11:30:00,-20.3,87
2026-06-20 11:32:00,-20.3,92
2026-06-20 11:34:00,-20.0,91
2026-06-20 11:36:00,-20.2,86
2026-06-20 11:38:00,-20.2,92
2026-06-20 11:40:00,-20.1,87
2026-06-20 11:42:00,-19.8,91
2026-06-20 11:44:00,-20.0,87
2026-06-20 11:46:00,-19.5,86
2026-06-20 11:48:00,-19.7,89
2026-06-20 11:50:00,-13.0,92
2026-06-20 11:52:00,-11.3,91
2026-06-20 11:54:00,-10.0,92
2026-06-20 11:56:00,-8.0,88
2026-06-20 11:58:00,-19.8,88
2026-06-20 12:00:00,-19.6,90
2026-06-20 12:02:00,-19.7,90
2026-06-20 12:04:00,-19.3,88
2026-06-20 12:06:00,-19.4,86
2026-06-20 12:08:00,-19.6,91
2026-06-20 12:10:00,-19.2,91
2026-06-20 12:12:00,-19.2,92
2026-06-20 12:14:00,-19.3,92
2026-06-20 12:16:00,-19.1,90
2026-06-20 12:18:00,-19.1,87
2026-06-20 12:20:00,-18.9,87
2026-06-20 12:22:00,-19.0,92
2026-06-20 12:24:00,-19.1,89
2026-06-20 12:26:00,-19.2,89
2026-06-20 12:28:00,-19.1,85
2026-06-20 12:30:00,-19.3,90
2026-06-20 12:32:00,-19.4,91
2026-06-20 12:34:00,-19.0,88
2026-06-20 12:36:00,-19.5,88
2026-06-20 12:38:00,-19.0,93
2026-06-20 12:40:00,-19.3,88
2026-06-20 12:42:00,-19.0,88
2026-06-20 12:44:00,-19.5,88
